ALPLA PLASTIC MIDDLE EAST INDUSTRIES L.L.C.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Main account,Name,,,,,,,,,,,,
13000,Other intangible assets,,,,,,,,,,,,
Date,Journal number,Voucher,Posting type,Ledger account,Description,,,Amount in transaction currency,,Amount in accounting currency,,Amount in reporting currency,
,,,,,,,,Debit,Credit,Debit,Credit,Debit,Credit
01/01/2023,327-049224,CLS2-2022,,013000-13233----,,,AED,"7,000,000.00",0,"7,000,000.00",0,"1,714,257.73",0
Totals,,,,,,,,,,"7,000,000.00",0,"1,714,257.73",0
Net difference,,,,,,,,,,"7,000,000.00",,,
,,,,,,,,,,,,,
13010,Acc. depreciation leasehold right (Prepetual use of land),,,,,,,,,,,,
Date,Journal number,Voucher,Posting type,Ledger account,Description,,,Amount in transaction currency,,Amount in accounting currency,,Amount in reporting currency,
,,,,,,,,Debit,Credit,Debit,Credit,Debit,Credit
9/30/2023,327-056365,327-DEPR-014048,"Fixed assets, credit",013015-13233--1000_13233--,,,AED,0,"23,333.33",0,"23,333.33",0,"5,714.19"
10/31/2023,327-058487,327-DEPR-014490,"Fixed assets, credit",013015-13233--1000_13233--,,,AED,0,"23,333.33",0,"23,333.33",0,"5,714.19"
11/30/2023,327-060053,327-DEPR-014932,"Fixed assets, credit",013015-13233--1000_13233--,Depr. from 11/1/2023 to 11/30/2023,,AED,0,"23,333.33",0,"23,333.33",0,"5,714.19"
12/31/2023,327-061544,327-DEPR-015375,"Fixed assets, credit",013015-13233--1000_13233--,Depr. from 12/1/2023 to 12/31/2023,,AED,0,"23,333.33",0,"23,333.33",0,"5,714.19"
Totals,,,,,,,,,,0,"2,080,375.19",0,"509,471.25"
Net difference,,,,,,,,,,,"2,080,375.19",,
,,,,,,,,,,,,,
20030,Buildings,,,,,,,,,,,,
Date,Journal number,Voucher,Posting type,Ledger account,Description,,,Amount in transaction currency,,Amount in accounting currency,,Amount in reporting currency,
,,,,,,,,Debit,Credit,Debit,Credit,Debit,Credit
01/01/2023,327-049224,CLS2-2022,,020030-13233--1000_13233--70364,,,AED,"9,800.00",0,"9,800.00",0,"2,514.78",0
01/01/2023,327-049224,CLS2-2022,,020030-13233--1000_13233--70022,,,AED,"3,000.00",0,"3,000.00",0,813.04,0
01/01/2023,327-049224,CLS2-2022,,020030-13233--1000_13233--70015,,,AED,"9,000.00",0,"9,000.00",0,"2,281.06",0
01/01/2023,327-049224,CLS2-2022,,020030-13233--1000_13233--70280,,,AED,"23,700.00",0,"23,700.00",0,"5,695.10",0
01/01/2023,327-049224,CLS2-2022,,020030-13233--1000_13233--70345,,,AED,"27,120.00",0,"27,120.00",0,"6,367.75",0
01/01/2023,327-049224,CLS2-2022,,020030-13233--1000_13233--70261,,,AED,"19,190.00",0,"19,190.00",0,"4,428.63",0
01/01/2023,327-049224,CLS2-2022,,020030-13233--1000_13233-13233_000500-,,,AED,"7,000.00",0,"7,000.00",0,"1,605.47",0
01/01/2023,327-049224,CLS2-2022,,020030-13233--1000_13233--70310,,,AED,"17,000.00",0,"17,000.00",0,"3,817.08",0
01/01/2023,327-049224,CLS2-2022,,020030-13233----,,,AED,"29,859,114.80",0,"29,859,114.80",0,"7,312,316.89",0
01/01/2023,327-049224,CLS2-2022,,020030-13233--1000_13233--,,,AED,"1,124,853.23",0,"1,124,853.23",0,"285,082.44",0
01/01/2023,327-049224,CLS2-2022,,020030-13233--1000_13233--70289,,,AED,"119,162.00",0,"119,162.00",0,"27,929.33",0
12/12/2023,327-060316,13233-VEND-005108,"Fixed assets, debit",020030-13233--1000_13233--70364,Toilet Floor Tiling,,AED,"12,550.00",0,"12,550.00",0,"3,170.56",0
12/21/2023,327-060603,13233-VEND-005149,"Fixed assets, debit",020030-13233--1000_13233--70487,"Exhaust Pipe from 2"" to 4"" dia with gaskets including asbestos tapes",,AED,"4,300.00",0,"4,300.00",0,"1,065.37",0
12/25/2023,327-060980,13233-VEND-005172,"Fixed assets, debit",020030-13233--1000_13233--,Utility Piping Improvement 2023,,AED,"3,500.00",0,"3,500.00",0,865.26,0
Totals,,,,,,,,,,"31,239,290.03",0,"7,657,952.76",0
Net difference,,,,,,,,,,"31,239,290.03",,,
,,,,,,,,,,,,,
20060,Leasehold rights (Prepetual use of land),,,,,,,,,,,,
Date,Journal number,Voucher,Posting type,Ledger account,Description,,,Amount in transaction currency,,Amount in accounting currency,,Amount in reporting currency,
,,,,,,,,Debit,Credit,Debit,Credit,Debit,Credit
01/01/2023,327-049224,CLS2-2022,,020060-13233----,,,AED,"11,965,720.00",0,"11,965,720.00",0,"2,930,332.57",0
01/01/2023,327-049224,CLS2-2022,,020060-13233--1000_13233--,,,AED,0,"263,629.00",0,"263,629.00",0,"63,263.77"
Totals,,,,,,,,,,"11,965,720.00","263,629.00","2,930,332.57","63,263.77"
Net difference,,,,,,,,,,"11,702,091.00",,,
,,,,,,,,,,,,,
20065,Acc. depreciation buildings,,,,,,,,,,,,
Date,Journal number,Voucher,Posting type,Ledger account,Description,,,Amount in transaction currency,,Amount in accounting currency,,Amount in reporting currency,
,,,,,,,,Debit,Credit,Debit,Credit,Debit,Credit
01/01/2023,327-049224,CLS2-2022,,020065-13233----,,,AED,0,"2,821,540.00",0,"2,821,540.00",0,"690,978.11"
01/01/2023,327-049224,CLS2-2022,,020065-13233--1000_13233--,,,AED,0,"3,106,174.60",0,"3,106,174.60",0,"760,520.20"
1/31/2023,327-043619,327-DEPR-010627,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,"58,050.87",0,"58,050.87",0,"14,216.31"
1/31/2023,327-043620,327-DEPR-010628,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,264.32,0,264.32,0,64.73
1/31/2023,327-043621,327-DEPR-010629,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,12.73,0,12.73,0,3.12
1/31/2023,327-043622,327-DEPR-010630,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,20,0,20,0,4.9
1/31/2023,327-043623,327-DEPR-010631,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,33.62,0,33.62,0,8.23
1/31/2023,327-043624,327-DEPR-010632,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,50,0,50,0,12.24
1/31/2023,327-043625,327-DEPR-010633,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,46.67,0,46.67,0,11.43
1/31/2023,327-043626,327-DEPR-010634,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,26.67,0,26.67,0,6.53
1/31/2023,327-043627,327-DEPR-010635,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,283.33,0,283.33,0,69.39
1/31/2023,327-043628,327-DEPR-010636,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,40,0,40,0,9.8
1/31/2023,327-043629,327-DEPR-010637,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,24.67,0,24.67,0,6.04
1/31/2023,327-043630,327-DEPR-010638,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,113.33,0,113.33,0,27.75
1/31/2023,327-043631,327-DEPR-010639,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,11.61,0,11.61,0,2.84
1/31/2023,327-043632,327-DEPR-010640,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,16.32,0,16.32,0,4
1/31/2023,327-043633,327-DEPR-010641,"Fixed assets, credit",020065-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,,AED,0,186.9,0,186.9,0,45.77
