Main account,Name,Date,Journal number,Voucher,Posting type,Ledger account,Description,,Amount in transaction currency,,Amount in accounting currency,,Amount in reporting currency,
Main account,Name,Date,Journal number,Voucher,Posting type,Ledger account,Description,,Amount in transaction currency,,Amount in accounting currency,,Amount in reporting currency,
,,13010,Acc. depreciation leasehold right (Prepetual use of land),,,,,,,,,,,
,,13010,Acc. depreciation leasehold right (Prepetual use of land),,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
,,13015,Acc. deprecation other intangible assets,,,,,,,,,,,
